image_id,filename,folder,label,label_idx,path
img_000,15015565588_38e53262df_o.jpg,Boarded Windows (§ 304.13 - 108.2),boarded_windows,0,/Users/lichihao/Workspaces/courses/INST623/FinalProject/data/client-data/ Boarded Windows (§ 304.13 - 108.2)/15015565588_38e53262df_o.jpg
img_001,1635092396_5c6b58bf2d_o.jpg,Boarded Windows (§ 304.13 - 108.2),boarded_windows,0,/Users/lichihao/Workspaces/courses/INST623/FinalProject/data/client-data/ Boarded Windows (§ 304.13 - 108.2)/1635092396_5c6b58bf2d_o.jpg
img_002,3111503739_706442fa4c_o.jpg,Boarded Windows (§ 304.13 - 108.2),boarded_windows,0,/Users/lichihao/Workspaces/courses/INST623/FinalProject/data/client-data/ Boarded Windows (§ 304.13 - 108.2)/3111503739_706442fa4c_o.jpg
img_003,4861716269_6e5f0fc8c0_o.jpg,Boarded Windows (§ 304.13 - 108.2),boarded_windows,0,/Users/lichihao/Workspaces/courses/INST623/FinalProject/data/client-data/ Boarded Windows (§ 304.13 - 108.2)/4861716269_6e5f0fc8c0_o.jpg
img_004,4877300842_a88ec6abe8_o.jpg,Boarded Windows (§ 304.13 - 108.2),boarded_windows,0,/Users/lichihao/Workspaces/courses/INST623/FinalProject/data/client-data/ Boarded Windows (§ 304.13 - 108.2)/4877300842_a88ec6abe8_o.jpg
img_005,50946283777_4736abb3b4_o.jpg,Boarded Windows (§ 304.13 - 108.2),boarded_windows,0,/Users/lichihao/Workspaces/courses/INST623/FinalProject/data/client-data/ Boarded Windows (§ 304.13 - 108.2)/50946283777_4736abb3b4_o.jpg
img_006,6181101649_5ed6774316_o.jpg,Boarded Windows (§ 304.13 - 108.2),boarded_windows,0,/Users/lichihao/Workspaces/courses/INST623/FinalProject/data/client-data/ Boarded Windows (§ 304.13 - 108.2)/6181101649_5ed6774316_o.jpg
img_007,8871905322_d76d055be4_o.jpg,Boarded Windows (§ 304.13 - 108.2),boarded_windows,0,/Users/lichihao/Workspaces/courses/INST623/FinalProject/data/client-data/ Boarded Windows (§ 304.13 - 108.2)/8871905322_d76d055be4_o.jpg
img_008,138591881_13b0d39036_o.jpg,Broken Windows (§ 304.13.1),broken_windows,1,/Users/lichihao/Workspaces/courses/INST623/FinalProject/data/client-data/ Broken Windows (§ 304.13.1)/138591881_13b0d39036_o.jpg
img_009,209727379_cf160cfc99_n.jpg,Broken Windows (§ 304.13.1),broken_windows,1,/Users/lichihao/Workspaces/courses/INST623/FinalProject/data/client-data/ Broken Windows (§ 304.13.1)/209727379_cf160cfc99_n.jpg
